@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/02/15 16:18:19:744',1,0,0,0,47.599998,284.799988,-308.799988,1,0,0
2,'2018/02/15 16:18:19:814',1,560,48,-1168,37.136002,456.640015,-146.240005,1,0,0
3,'2018/02/15 16:18:19:815',1,0,0,0,33.312,558.080017,-126.080002,1,0,0
4,'2018/02/15 16:18:19:831',1,16,48,512,33.391998,629.119995,-73.279999,1,0,0
5,'2018/02/15 16:18:19:863',1,0,0,0,35.119999,665.280029,31.68,1,0,0
6,'2018/02/15 16:18:19:893',1,0,0,0,35.296001,709.440002,168,1,0,0
7,'2018/02/15 16:18:19:923',1,0,0,0,36,677.440002,257.279999,1,0,0
8,'2018/02/15 16:18:19:953',1,0,0,0,34.063999,485.119995,547.52002,1,0,0
9,'2018/02/15 16:18:19:985',1,0,0,0,30.784,246.080002,937.280029,1,0,0
10,'2018/02/15 16:18:20:012',1,0,0,0,27.024,8.32,1090.23999,1,0,0
11,'2018/02/15 16:18:20:042',1,0,0,0,24.544001,-203.199997,1073.920044,1,0,0
12,'2018/02/15 16:18:20:073',1,0,0,0,24.528,-299.839996,1082.23999,1,0,0
13,'2018/02/15 16:18:20:104',1,144,160,-1376,24.944,-300.160004,1153.599976,1,0,0
14,'2018/02/15 16:18:20:134',1,0,0,0,26.256001,-247.039993,1019.52002,1,0,0
15,'2018/02/15 16:18:20:162',1,-672,272,864,27.488001,-198.720001,761.599976,1,0,0
16,'2018/02/15 16:18:20:194',1,0,0,0,25.552,-131.520004,581.119995,1,0,0
17,'2018/02/15 16:18:20:224',1,80,1040,-320,25.6,-20.48,415.679993,1,0,0
18,'2018/02/15 16:18:20:254',1,0,0,0,26.511999,200,112,1,0,0
19,'2018/02/15 16:18:20:286',1,-1200,0,1552,28.591999,439.040009,-4.16,1,0,0
20,'2018/02/15 16:18:20:314',1,0,0,0,20.879999,631.679993,2.88,1,0,0
21,'2018/02/15 16:18:20:344',1,736,64,0,10.576,693.119995,-11.52,1,0,0
22,'2018/02/15 16:18:20:374',1,0,0,0,7.824,722.23999,-150.080002,1,0,0
23,'2018/02/15 16:18:20:402',1,0,0,0,9.92,683.52002,-144.960007,1,0,0
24,'2018/02/15 16:18:20:433',1,0,0,0,11.696,628.799988,29.120001,1,0,0
25,'2018/02/15 16:18:20:464',1,0,0,0,13.52,596.47998,220.160004,1,0,0
26,'2018/02/15 16:18:20:497',1,0,0,0,13.904,526.719971,384.959991,1,0,0
27,'2018/02/15 16:18:20:523',1,0,0,0,12.784,410.880005,699.52002,1,0,0
28,'2018/02/15 16:18:20:554',1,-64,-32,176,10.4,183.360001,1041.280029,1,0,0
29,'2018/02/15 16:18:20:586',1,0,0,0,7.984,-61.439999,1109.439941,1,0,0
30,'2018/02/15 16:18:20:614',1,48,-80,-464,7.232,-264,1008.320007,1,0,0
31,'2018/02/15 16:18:20:643',1,0,0,0,6.896,-342.399994,905.280029,1,0,0
32,'2018/02/15 16:18:20:673',1,64,-16,-96,6.336,-388.799988,930.880005,1,0,0
33,'2018/02/15 16:18:25:687',2,576,288,816,-20.48,-134.720001,1036.800049,0,1,0
34,'2018/02/15 16:18:25:716',2,0,0,0,-14.96,-82.239998,1136.959961,0,1,0
35,'2018/02/15 16:18:25:750',2,0,1040,-1536,5.44,36.16,1220.160034,0,1,0
36,'2018/02/15 16:18:25:783',2,0,0,0,25.280001,250.880005,1139.839966,0,1,0
37,'2018/02/15 16:18:25:800',2,-2208,0,-176,28.768,473.279999,1091.839966,0,1,0
38,'2018/02/15 16:18:25:830',2,0,0,0,17.552,693.440002,1147.839966,0,1,0
39,'2018/02/15 16:18:25:862',2,592,-1152,-2192,5.328,890.559998,1177.599976,0,1,0
40,'2018/02/15 16:18:25:892',2,0,0,0,-0.288,940.47998,1088.640015,0,1,0
41,'2018/02/15 16:18:25:923',2,160,-128,-800,-9.312,959.039978,1087.040039,0,1,0
42,'2018/02/15 16:18:25:952',2,0,0,0,-13.248,961.280029,1008.640015,0,1,0
43,'2018/02/15 16:18:25:982',2,0,0,0,-10.496,943.039978,1010.23999,0,1,0
44,'2018/02/15 16:18:26:010',2,0,0,0,-8.304,888,979.52002,0,1,0
45,'2018/02/15 16:18:26:045',2,0,0,0,-11.92,794.23999,890.23999,0,1,0
46,'2018/02/15 16:18:26:077',2,0,0,0,-18.431999,627.200012,912.640015,0,1,0
47,'2018/02/15 16:18:26:099',2,0,0,0,-21.695999,468.160004,923.52002,0,1,0
48,'2018/02/15 16:18:26:133',2,0,0,160,-23.712,323.519989,879.039978,0,1,0
49,'2018/02/15 16:18:26:168',2,0,0,0,-24.864,212.800003,872.320007,0,1,0
50,'2018/02/15 16:18:26:194',2,784,-528,0,-18.736,232.639999,958.080017,0,1,0
51,'2018/02/15 16:18:26:222',2,0,0,0,-10.704,227.520004,958.080017,0,1,0
52,'2018/02/15 16:18:26:256',2,-176,288,816,-5.136,225.279999,1056.959961,0,1,0
53,'2018/02/15 16:18:26:282',2,0,0,0,0.544,253.119995,1123.199951,0,1,0
54,'2018/02/15 16:18:26:314',2,0,1344,0,17.615999,310.079987,1157.76001,0,1,0
55,'2018/02/15 16:18:26:351',2,0,0,0,37.279999,484.480011,1145.280029,0,1,0
56,'2018/02/15 16:18:26:381',2,-2752,0,1040,39.952,659.200012,1208.640015,0,1,0
57,'2018/02/15 16:18:26:403',2,0,0,0,26.879999,818.23999,1335.680054,0,1,0
58,'2018/02/15 16:18:26:433',2,0,0,0,14.144,908.159973,1278.079956,0,1,0
59,'2018/02/15 16:18:26:460',2,0,0,0,6.032,874.880005,1140.800049,0,1,0
60,'2018/02/15 16:18:26:491',2,0,0,0,2.048,786.559998,1103.680054,0,1,0
61,'2018/02/15 16:18:26:524',2,0,0,0,0.272,756.159973,1071.359985,0,1,0
62,'2018/02/15 16:18:26:554',2,0,0,0,3.36,734.080017,1093.439941,0,1,0
63,'2018/02/15 16:18:26:583',2,0,0,0,6.912,673.280029,1050.560059,0,1,0
64,'2018/02/15 16:18:26:615',2,0,0,0,4.736,606.080017,927.039978,0,1,0
65,'2018/02/15 16:18:26:645',2,256,80,256,0.432,413.119995,902.400024,0,1,0
66,'2018/02/15 16:18:26:677',2,0,0,0,-2.576,205.440002,854.400024,0,1,0
67,'2018/02/15 16:18:26:705',2,-48,224,48,-6.368,17.92,750.080017,0,1,0
68,'2018/02/15 16:18:26:738',2,0,0,0,-10.08,-86.080002,817.599976,0,1,0
69,'2018/02/15 16:18:26:768',2,512,-176,336,-10.448,-77.440002,960.320007,0,1,0
70,'2018/02/15 16:18:26:800',2,0,0,0,-7.36,-16.639999,1041.599976,0,1,0
71,'2018/02/15 16:18:26:826',2,-192,0,-400,-5.152,43.84,1141.119995,0,1,0
72,'2018/02/15 16:18:26:856',2,0,0,0,-2.16,100.480003,1160.640015,0,1,0
73,'2018/02/15 16:18:26:889',2,0,448,0,7.6,184.960007,1211.199951,0,1,0
74,'2018/02/15 16:18:26:918',2,0,0,0,17.68,368.959991,1246.400024,0,1,0
75,'2018/02/15 16:18:26:939',2,0,0,0,21.247999,586.880005,1179.839966,0,1,0
76,'2018/02/15 16:18:26:971',2,0,0,0,12.24,794.559998,1309.119995,0,1,0
77,'2018/02/15 16:18:27:001',2,0,0,0,1.488,982.080017,1289.280029,0,1,0
78,'2018/02/15 16:18:27:031',2,0,0,0,-8.928,1106.23999,991.679993,0,1,0
79,'2018/02/15 16:18:27:065',2,0,0,0,-10.208,1091.199951,779.840027,0,1,0
80,'2018/02/15 16:18:27:095',2,-1392,336,-464,-7.664,1000.640015,800,0,1,0
81,'2018/02/15 16:18:27:126',2,0,0,0,-10.944,920.320007,754.23999,0,1,0
82,'2018/02/15 16:18:27:157',2,-288,240,304,-14.352,828.799988,591.039978,0,1,0
83,'2018/02/15 16:18:27:189',2,0,0,0,-19.167999,757.76001,441.600006,0,1,0
84,'2018/02/15 16:18:27:208',2,832,-224,-96,-23.952,592.320007,406.720001,0,1,0
85,'2018/02/15 16:18:27:248',2,0,0,0,-24.096001,348.799988,512.960022,0,1,0
86,'2018/02/15 16:18:27:276',2,-256,272,-16,-24.32,105.599998,399.679993,0,1,0
87,'2018/02/15 16:18:27:307',2,0,0,0,-26.591999,-100.800003,418.880005,0,1,0
88,'2018/02/15 16:18:27:335',2,624,96,544,-26.927999,-272.320007,728.640015,0,1,0
89,'2018/02/15 16:18:27:363',2,0,0,0,-24.16,-320.320007,996.799988,0,1,0
90,'2018/02/15 16:18:27:400',2,0,0,0,-22.704,-271.679993,955.52002,0,1,0
91,'2018/02/15 16:18:27:423',2,0,0,0,-23.983999,-229.119995,911.039978,0,1,0
154,'2018/02/15 16:18:41:222',4,0,0,0,-105.424004,5.12,1077.119995,0,0,1
155,'2018/02/15 16:18:41:251',4,-112,-144,48,-108.463997,7.04,1053.119995,0,0,1
156,'2018/02/15 16:18:41:283',4,0,0,0,-99.503998,-9.28,1041.920044,0,0,1
157,'2018/02/15 16:18:41:313',4,224,-112,-16,-91.68,-32.959999,1051.52002,0,0,1
158,'2018/02/15 16:18:41:343',4,0,0,0,-84.592003,-92.160004,1034.23999,0,0,1
159,'2018/02/15 16:18:41:369',4,-704,0,0,-85.568001,-255.039993,1029.439941,0,0,1
160,'2018/02/15 16:18:41:404',4,0,0,0,-98.575996,-424.640015,1024,0,0,1
161,'2018/02/15 16:18:41:433',4,0,0,0,-104.959999,-509.119995,1094.719971,0,0,1
162,'2018/02/15 16:18:41:464',4,0,0,0,-109.328003,-582.400024,1071.359985,0,0,1
163,'2018/02/15 16:18:41:498',4,0,0,0,-112.015999,-538.559998,916.47998,0,0,1
164,'2018/02/15 16:18:41:522',4,0,0,0,-109.152,-378.880005,896.320007,0,0,1
165,'2018/02/15 16:18:41:557',4,0,0,0,-111.952003,-189.759995,898.23999,0,0,1
166,'2018/02/15 16:18:41:590',4,960,-432,704,-116.112,22.4,927.679993,0,0,1
167,'2018/02/15 16:18:41:620',4,0,0,0,-116.143997,172.800003,1003.52002,0,0,1
168,'2018/02/15 16:18:41:651',4,-656,240,96,-116.575996,295.040009,996.799988,0,0,1
